,alg_type,env_name,gae_lambda,ent_coef,actor_lr,critic_lr,percentile_normalized_return,mean_return
229,advn_norm_ema,ant,0.7,0.001,0.0001,0.1,0.8699317797220837,5.244515983015299
230,advn_norm_ema,ant,0.7,0.001,0.001,1e-05,0.5610416962545252,-14.084602012634278
231,advn_norm_ema,ant,0.7,0.001,0.001,0.0001,0.599468435371523,-11.6800088763237
232,advn_norm_ema,ant,0.7,0.001,0.001,0.001,0.6308823790547375,-9.714248702526092
233,advn_norm_ema,ant,0.7,0.001,0.001,0.01,0.5981277907040163,-11.763901109695434
234,advn_norm_ema,ant,0.7,0.001,0.001,0.1,0.5557959004435091,-14.41286313734877
235,advn_norm_ema,ant,0.7,0.001,0.01,1e-05,0.5286837382821189,-16.109434861671335
236,advn_norm_ema,ant,0.7,0.001,0.01,0.0001,0.5542133046541646,-14.51189571362398
237,advn_norm_ema,ant,0.7,0.001,0.01,0.001,0.5779467947763225,-13.026747903535888
238,advn_norm_ema,ant,0.7,0.001,0.01,0.01,0.5659652202014476,-13.776507384745509
239,advn_norm_ema,ant,0.7,0.001,0.01,0.1,0.5209437002934741,-16.593775782861954
240,advn_norm_ema,ant,0.7,0.001,0.1,1e-05,0.042149474081341246,-46.55482208839036
241,advn_norm_ema,ant,0.7,0.001,0.1,0.0001,0.16528587567898562,-38.84943378546501
242,advn_norm_ema,ant,0.7,0.001,0.1,0.001,0.1536305053719592,-39.57878069559709
243,advn_norm_ema,ant,0.7,0.001,0.1,0.01,0.14285869430510345,-40.25283796801181
244,advn_norm_ema,ant,0.7,0.001,0.1,0.1,0.13950184947127828,-40.46289602218339
245,advn_norm_ema,ant,0.7,0.01,1e-05,1e-05,0.5811285186979172,-12.827648222446442
246,advn_norm_ema,ant,0.7,0.01,1e-05,0.0001,0.6557776283533608,-8.156402604579926
247,advn_norm_ema,ant,0.7,0.01,1e-05,0.001,0.67093526285051,-7.207897872924804
248,advn_norm_ema,ant,0.7,0.01,1e-05,0.01,0.6019159023165784,-11.526856088638306
249,advn_norm_ema,ant,0.7,0.01,1e-05,0.1,0.5960402302392204,-11.894532375335693
250,advn_norm_ema,ant,0.7,0.01,0.0001,1e-05,0.5742255542402533,-13.259608397483825
251,advn_norm_ema,ant,0.7,0.01,0.0001,0.0001,0.735082869005502,-3.193794750580564
252,advn_norm_ema,ant,0.7,0.01,0.0001,0.001,0.6464066093577118,-8.742803857326507
253,advn_norm_ema,ant,0.7,0.01,0.0001,0.01,0.6296367427464092,-9.792195689082146
254,advn_norm_ema,ant,0.7,0.01,0.0001,0.1,0.5678521919973533,-13.658428163528443
255,advn_norm_ema,ant,0.7,0.01,0.001,1e-05,0.2681432448855444,-32.41302700996399
256,advn_norm_ema,ant,0.7,0.01,0.001,0.0001,0.4435856588516131,-21.43453562259674
257,advn_norm_ema,ant,0.7,0.01,0.001,0.001,0.44876680069381164,-21.110320287174453
258,advn_norm_ema,ant,0.7,0.01,0.001,0.01,0.43904269443524674,-21.718816342353822
259,advn_norm_ema,ant,0.7,0.01,0.001,0.1,0.41089050331256616,-23.48046895980835
260,advn_norm_ema,ant,0.7,0.01,0.01,1e-05,0.07172035744620836,-44.70439332946538
261,advn_norm_ema,ant,0.7,0.01,0.01,0.0001,0.20629547929397757,-36.2832152188782
262,advn_norm_ema,ant,0.7,0.01,0.01,0.001,0.3488127608163256,-27.365048212542455
263,advn_norm_ema,ant,0.7,0.01,0.01,0.01,0.34061277078201935,-27.87817111100839
264,advn_norm_ema,ant,0.7,0.01,0.01,0.1,0.33227686442369775,-28.399799114704415
265,advn_norm_ema,ant,0.7,0.01,0.1,1e-05,0.030922232584782088,-47.2573783932626
266,advn_norm_ema,ant,0.7,0.01,0.1,0.0001,0.012957303187133059,-48.381552520876326
267,advn_norm_ema,ant,0.7,0.01,0.1,0.001,0.005843347114205264,-48.82671571551779
268,advn_norm_ema,ant,0.7,0.01,0.1,0.01,0.02377093611664909,-47.70487820194109
269,advn_norm_ema,ant,0.7,0.01,0.1,0.1,0.020195053916083,-47.928642746977204
270,advn_norm_ema,ant,0.7,0.1,1e-05,1e-05,0.49654102966205854,-18.120798258781434
271,advn_norm_ema,ant,0.7,0.1,1e-05,0.0001,0.5460578554038878,-15.022231426239014
272,advn_norm_ema,ant,0.7,0.1,1e-05,0.001,0.5804128127173527,-12.872434267997741
273,advn_norm_ema,ant,0.7,0.1,1e-05,0.01,0.5291186863231387,-16.082217535972596
274,advn_norm_ema,ant,0.7,0.1,1e-05,0.1,0.5045723128804518,-17.618232364654542
275,advn_norm_ema,ant,0.7,0.1,0.0001,1e-05,0.09829479385108089,-43.04147035320346
276,advn_norm_ema,ant,0.7,0.1,0.0001,0.0001,0.17898603334765656,-37.992132181075505
277,advn_norm_ema,ant,0.7,0.1,0.0001,0.001,0.1801988518335761,-37.91623880386353
278,advn_norm_ema,ant,0.7,0.1,0.0001,0.01,0.17357085693682528,-38.33099247285696
279,advn_norm_ema,ant,0.7,0.1,0.0001,0.1,0.14760379660132306,-39.95590826034546
